NUM_VENDA,ID_LAN,NUM_DOCUMENTO,COD_COLIGADA,COD_EMPREENDIMENTO,CODTDO,ChaveCliente,DATAVENCIMENTO,DATABAIXA,VALOR_LIQUIDO,VALORBAIXA,SALDO,CM,STATUS_PAGAMENTO,DIAS_ATRASO,FAIXA_ATRASO,ENCARGOS
38691,100012,DOC-5859,44,762,71,7-7352,2024-11-05,2024-11-16,457.39,457.39,0.00,1.45,Baixado,11,Fase 1 - 01 a 29 dias,12.38
54296,100013,DOC-9872,44,286,20,2-7581,2025-01-20,2025-01-31,5645.51,5645.51,0.00,23.63,Baixado,11,Fase 1 - 01 a 29 dias,145.86
52217,100014,DOC-9542,17,363,18,4-6353,2025-07-25,2025-09-06,3378.11,3378.11,0.00,51.74,Baixado,43,Fase 2 - 30 a 60 dias,125.93
59640,100015,DOC-6006,42,689,20,4-7789,2024-11-05,2025-02-01,6472.88,6472.88,0.00,99.20,Baixado,88,Fase 3 - 61 a 90 dias,365.90
90472,100016,DOC-6966,9,735,20,5-3387,2024-10-25,2024-10-25,6407.56,6407.56,0.00,0.00,Baixado,0,Fase 1 - 01 a 29 dias,0.00
84942,100017,DOC-7373,58,636,18,3-6775,2026-06-05,,3906.34,0.00,3906.34,77.81,Em Aberto,100,Fase 4 - 91+ dias,237.67
70533,100018,DOC-8941,17,363,71,2-8379,2024-10-10,2024-10-10,323.10,323.10,0.00,0.00,Baixado,0,Fase 1 - 01 a 29 dias,0.00
16963,100019,DOC-6139,9,684,20,6-8715,2026-01-25,2026-03-13,3129.35,3129.35,0.00,44.60,Baixado,47,Fase 2 - 30 a 60 dias,104.61
62147,100020,DOC-3424,19,913,20,6-1478,2025-04-20,2025-05-21,5307.74,5307.74,0.00,33.16,Baixado,31,Fase 2 - 30 a 60 dias,148.81
88492,100021,DOC-5724,21,323,20,3-9348,2026-01-25,2026-02-26,2953.21,2953.21,0.00,24.35,Baixado,32,Fase 2 - 30 a 60 dias,95.16
56080,100022,DOC-6270,23,927,20,5-1564,2026-04-20,,5995.34,0.00,5995.34,205.93,Em Aberto,146,Fase 4 - 91+ dias,368.01
38641,100023,DOC-8784,44,762,71,7-4911,2025-07-10,,265.26,0.00,265.26,20.94,Em Aberto,430,Fase 4 - 91+ dias,37.89
45812,100024,DOC-1229,8,984,20,5-3820,2025-02-05,2025-03-17,3829.58,3829.58,0.00,49.88,Baixado,40,Fase 2 - 30 a 60 dias,139.86
64196,100025,DOC-9340,21,132,71,7-6919,2025-09-28,2025-10-04,188.18,188.18,0.00,0.32,Baixado,6,Fase 1 - 01 a 29 dias,4.71
15564,100026,DOC-4611,17,792,20,6-9700,2026-03-05,,2075.84,0.00,2075.84,157.83,Em Aberto,192,Fase 4 - 91+ dias,158.38
96824,100027,DOC-5070,47,100,71,3-3006,2026-07-25,,698.48,0.00,698.48,5.10,Em Aberto,50,Fase 2 - 30 a 60 dias,27.51
49901,100028,DOC-8829,42,689,20,3-8629,2024-11-15,2024-11-26,2961.09,2961.09,0.00,9.70,Baixado,11,Fase 1 - 01 a 29 dias,63.56
49148,100029,DOC-3379,31,399,20,3-3301,2026-03-28,2026-03-31,1585.50,963.00,622.50,1.39,Baixado parcialmente,3,Fase 1 - 01 a 29 dias,29.88
27514,100030,DOC-7463,21,132,18,7-5042,2024-11-25,2025-02-23,4529.10,4529.10,0.00,150.12,Baixado,90,Fase 3 - 61 a 90 dias,240.18
49764,100031,DOC-1616,17,792,18,5-2654,2026-07-05,,3693.90,0.00,3693.90,76.22,Em Aberto,70,Fase 3 - 61 a 90 dias,170.30
97027,100032,DOC-8896,63,189,20,6-6246,2024-08-10,2024-08-12,4443.92,4443.92,0.00,2.18,Baixado,2,Fase 1 - 01 a 29 dias,100.22
74536,100033,DOC-1768,9,735,20,3-5467,2025-08-20,2025-10-14,2891.69,2891.69,0.00,50.73,Baixado,55,Fase 2 - 30 a 60 dias,96.40
86333,100034,DOC-7653,34,704,20,7-7331,2025-09-20,,3758.38,0.00,3758.38,333.37,Em Aberto,358,Fase 4 - 91+ dias,483.51
87835,100035,DOC-2374,49,840,20,5-4366,2025-05-05,,5954.82,0.00,5954.82,1051.45,Em Aberto,496,Fase 4 - 91+ dias,1187.62
20332,100036,DOC-2014,44,762,20,6-9220,2026-04-20,2026-04-23,4131.63,4131.63,0.00,2.08,Baixado,3,Fase 1 - 01 a 29 dias,91.03
12009,100037,DOC-7700,47,100,20,4-5514,2025-01-20,2025-02-18,3900.11,3900.11,0.00,29.34,Baixado,29,Fase 1 - 01 a 29 dias,132.55
59612,100038,DOC-5354,31,532,18,5-6557,2024-02-20,2024-04-03,3595.45,3595.45,0.00,60.34,Baixado,43,Fase 2 - 30 a 60 dias,110.56
98110,100039,DOC-5651,9,735,20,4-8941,2024-02-25,2024-04-07,4194.17,4194.17,0.00,64.45,Baixado,42,Fase 2 - 30 a 60 dias,128.14
62359,100040,DOC-8076,23,927,18,3-4097,2025-09-25,2025-10-21,1326.33,512.46,813.87,11.71,Baixado parcialmente,26,Fase 1 - 01 a 29 dias,42.57
24367,100041,DOC-5885,21,132,20,7-2268,2026-04-20,2026-07-04,2433.31,2433.31,0.00,69.61,Baixado,75,Fase 3 - 61 a 90 dias,108.64
24725,100042,DOC-9887,16,658,20,3-3372,2024-03-28,2024-04-15,3063.98,3063.98,0.00,16.10,Baixado,18,Fase 1 - 01 a 29 dias,84.95
98149,100043,DOC-1522,49,893,20,6-3528,2024-08-15,2024-09-12,3975.17,1346.36,2628.81,38.77,Baixado parcialmente,28,Fase 1 - 01 a 29 dias,112.47
78120,100044,DOC-9847,17,792,18,5-8477,2024-10-10,2024-10-15,3456.73,1546.10,1910.63,3.27,Baixado parcialmente,5,Fase 1 - 01 a 29 dias,77.27
22246,100045,DOC-4188,10,387,18,2-4974,2026-05-10,2026-05-31,2019.95,2019.95,0.00,10.69,Baixado,21,Fase 1 - 01 a 29 dias,55.01
77396,100046,DOC-9486,63,189,20,2-5797,2026-06-15,,2430.87,0.00,2430.87,39.82,Em Aberto,90,Fase 3 - 61 a 90 dias,133.06
25337,100047,DOC-9156,8,670,71,3-2627,2024-03-10,2024-04-12,559.61,559.61,0.00,6.60,Baixado,33,Fase 2 - 30 a 60 dias,16.94
57664,100048,DOC-7384,58,636,20,7-9928,2024-10-05,2024-10-29,1433.05,376.78,1056.27,10.60,Baixado parcialmente,24,Fase 1 - 01 a 29 dias,38.80
84940,100049,DOC-8097,21,323,67,4-7804,2025-05-05,2025-05-10,1029.91,428.15,601.76,1.82,Baixado parcialmente,5,Fase 1 - 01 a 29 dias,22.76
13603,100050,DOC-3302,23,683,67,2-7242,2025-10-25,2025-12-02,1343.39,1343.39,0.00,15.45,Baixado,38,Fase 2 - 30 a 60 dias,37.83
81418,100051,DOC-2950,47,100,20,2-5624,2024-02-28,,2012.99,0.00,2012.99,278.40,Em Aberto,928,Fase 4 - 91+ dias,736.99
22081,100052,DOC-3029,10,785,20,3-2627,2024-12-25,2025-01-24,6427.11,6427.11,0.00,45.02,Baixado,30,Fase 2 - 30 a 60 dias,178.46
90472,100053,DOC-3298,9,735,20,5-3387,2026-04-25,,6200.21,0.00,6200.21,343.65,Em Aberto,141,Fase 4 - 91+ dias,366.63
77637,100054,DOC-4111,47,100,20,4-8941,2026-05-10,,6110.98,0.00,6110.98,172.40,Em Aberto,126,Fase 4 - 91+ dias,408.64
43145,100055,DOC-4323,63,189,20,5-5390,2026-09-05,,3484.07,0.00,3484.07,9.17,Em Aberto,8,Fase 1 - 01 a 29 dias,81.80
62359,100056,DOC-4293,23,927,18,3-4097,2025-11-25,2026-02-02,1323.88,1323.88,0.00,24.04,Baixado,69,Fase 3 - 61 a 90 dias,58.67
75629,100057,DOC-6858,9,684,18,5-4207,2024-10-25,2024-10-31,3732.28,3732.28,0.00,5.20,Baixado,6,Fase 1 - 01 a 29 dias,80.59
23029,100058,DOC-3797,17,363,67,7-7958,2026-08-10,,462.76,0.00,462.76,2.40,Em Aberto,34,Fase 2 - 30 a 60 dias,15.57
93461,100059,DOC-6030,28,130,20,4-6351,2026-02-15,2026-05-28,2990.74,2990.74,0.00,108.75,Baixado,102,Fase 4 - 91+ dias,139.31
15719,100060,DOC-9188,10,387,71,2-5314,2026-01-20,2026-01-30,829.71,829.71,0.00,1.38,Baixado,10,Fase 1 - 01 a 29 dias,18.75
77685,100061,DOC-9966,49,893,67,2-1099,2026-02-20,2026-04-25,610.08,610.08,0.00,6.25,Baixado,64,Fase 3 - 61 a 90 dias,27.51
60592,100062,DOC-3444,10,387,18,5-8895,2024-09-05,2024-09-13,1941.15,1941.15,0.00,2.26,Baixado,8,Fase 1 - 01 a 29 dias,42.23
79681,100063,DOC-5403,31,399,71,7-1311,2024-03-28,2024-06-08,306.39,306.39,0.00,7.43,Baixado,72,Fase 3 - 61 a 90 dias,15.05
63283,100064,DOC-8549,17,363,20,7-3276,2026-04-15,2026-04-19,2709.89,2709.89,0.00,3.30,Baixado,4,Fase 1 - 01 a 29 dias,57.47
64196,100065,DOC-5594,21,132,71,7-6919,2025-12-28,,185.38,0.00,185.38,7.19,Em Aberto,259,Fase 4 - 91+ dias,21.20
37855,100066,DOC-2598,31,532,67,3-5467,2025-09-28,2025-09-29,1267.75,1267.75,0.00,0.39,Baixado,1,Fase 1 - 01 a 29 dias,24.57
83193,100067,DOC-8233,44,762,20,3-6108,2026-05-15,2026-06-21,6288.69,6288.69,0.00,53.25,Baixado,37,Fase 2 - 30 a 60 dias,228.95
61132,100068,DOC-4427,2,620,20,4-3413,2026-05-28,2026-07-15,1218.10,1218.10,0.00,8.19,Baixado,48,Fase 2 - 30 a 60 dias,44.81
96852,100069,DOC-2951,8,670,18,5-2443,2026-08-15,,2072.89,0.00,2072.89,15.39,Em Aberto,29,Fase 1 - 01 a 29 dias,53.00
84942,100070,DOC-1856,58,636,18,3-6775,2025-09-05,,3984.27,0.00,3984.27,219.96,Em Aberto,373,Fase 4 - 91+ dias,599.77
97936,100071,DOC-2199,9,735,18,4-1465,2026-05-20,2026-06-12,1727.44,1727.44,0.00,10.01,Baixado,23,Fase 1 - 01 a 29 dias,54.26
71140,100072,DOC-6822,25,224,18,6-3021,2025-03-25,2025-03-28,2669.01,2669.01,0.00,1.48,Baixado,3,Fase 1 - 01 a 29 dias,59.47
54556,100073,DOC-3856,56,720,18,7-7394,2024-03-15,2024-03-29,2279.10,2279.10,0.00,4.80,Baixado,14,Fase 1 - 01 a 29 dias,59.26
93828,100074,DOC-3612,58,636,71,3-8047,2024-07-25,2024-07-31,173.21,173.21,0.00,0.24,Baixado,6,Fase 1 - 01 a 29 dias,4.18
17372,100075,DOC-1241,47,100,20,6-7198,2025-11-20,2025-12-30,1419.05,1419.05,0.00,10.41,Baixado,40,Fase 2 - 30 a 60 dias,45.58
74597,100076,DOC-1218,28,130,18,3-1553,2024-09-15,2024-12-02,3544.63,3544.63,0.00,75.44,Baixado,78,Fase 3 - 61 a 90 dias,167.47
73101,100077,DOC-2978,42,833,20,3-6532,2024-09-15,2024-12-30,4003.85,4003.85,0.00,130.43,Baixado,106,Fase 4 - 91+ dias,193.63
23322,100078,DOC-3228,44,286,20,2-4557,2026-04-25,,2048.91,0.00,2048.91,63.75,Em Aberto,141,Fase 4 - 91+ dias,155.77
40728,100079,DOC-3723,16,529,20,4-8815,2025-05-10,2025-06-23,3055.53,3055.53,0.00,37.35,Baixado,44,Fase 2 - 30 a 60 dias,98.36
79619,100080,DOC-3990,28,130,18,3-9348,2024-10-25,2024-11-04,3555.79,3555.79,0.00,7.78,Baixado,10,Fase 1 - 01 a 29 dias,78.13
76094,100081,DOC-9807,16,529,20,3-6108,2025-11-28,2026-01-08,6585.19,6585.19,0.00,90.89,Baixado,41,Fase 2 - 30 a 60 dias,195.17
44985,100082,DOC-5100,42,689,20,5-3578,2026-03-10,,4176.78,0.00,4176.78,113.46,Em Aberto,187,Fase 4 - 91+ dias,342.79
10682,100083,DOC-3349,9,735,20,2-1893,2025-01-25,2025-03-10,5345.59,5345.59,0.00,68.25,Baixado,44,Fase 2 - 30 a 60 dias,212.28
96852,100084,DOC-5244,8,670,18,5-2443,2025-09-15,2025-10-03,2042.17,2042.17,0.00,14.16,Baixado,18,Fase 1 - 01 a 29 dias,46.25
93989,100085,DOC-7692,21,132,18,6-7490,2025-11-25,2026-06-11,3201.64,3201.64,0.00,155.11,Baixado,198,Fase 4 - 91+ dias,257.36
40728,100086,DOC-8309,16,529,20,4-8815,2024-03-10,2024-07-06,3050.50,3050.50,0.00,126.85,Baixado,118,Fase 4 - 91+ dias,167.61
36205,100087,DOC-7383,37,699,20,7-5951,2024-05-25,2024-11-09,4996.33,4996.33,0.00,133.10,Baixado,168,Fase 4 - 91+ dias,377.54
22348,100088,DOC-5441,21,132,67,2-4100,2025-11-15,2025-11-19,1106.48,1106.48,0.00,0.76,Baixado,4,Fase 1 - 01 a 29 dias,26.65
43357,100089,DOC-9611,16,658,18,7-8024,2024-10-20,2024-12-30,1148.34,1148.34,0.00,31.19,Baixado,71,Fase 3 - 61 a 90 dias,54.08
66394,100090,DOC-8631,49,840,20,7-2268,2024-05-25,2024-06-02,1909.17,772.53,1136.64,5.38,Baixado parcialmente,8,Fase 1 - 01 a 29 dias,38.14
71421,100091,DOC-3185,19,913,18,6-4539,2026-07-25,2026-08-23,3209.89,3209.89,0.00,30.81,Baixado,29,Fase 1 - 01 a 29 dias,84.96
54296,100092,DOC-2209,44,286,20,2-7581,2025-06-20,2025-07-19,5774.16,5774.16,0.00,57.27,Baixado,29,Fase 1 - 01 a 29 dias,151.65
70882,100093,DOC-1865,2,834,20,5-7925,2025-10-05,2025-11-02,6234.26,6234.26,0.00,56.89,Baixado,28,Fase 1 - 01 a 29 dias,199.30
67379,100094,DOC-2800,56,720,20,4-3413,2025-01-15,,3118.15,0.00,3118.15,631.12,Em Aberto,606,Fase 4 - 91+ dias,757.40
11829,100095,DOC-6080,23,683,67,6-3799,2024-11-20,2024-12-14,636.96,636.96,0.00,4.19,Baixado,24,Fase 1 - 01 a 29 dias,15.18
67379,100096,DOC-7769,56,720,20,4-3413,2025-12-15,,3300.87,0.00,3300.87,174.85,Em Aberto,272,Fase 4 - 91+ dias,322.26
98149,100097,DOC-3641,49,893,20,6-3528,2026-04-15,2026-05-02,4203.69,4203.69,0.00,10.37,Baixado,17,Fase 1 - 01 a 29 dias,112.42
65792,100098,DOC-2926,56,720,20,2-5439,2024-06-25,2024-07-03,2542.52,2542.52,0.00,2.81,Baixado,8,Fase 1 - 01 a 29 dias,50.90
32022,100099,DOC-1720,51,312,20,7-8432,2024-04-25,2024-06-07,1382.56,1382.56,0.00,17.23,Baixado,43,Fase 2 - 30 a 60 dias,47.78
76612,100100,DOC-7876,47,195,20,5-7150,2026-03-15,2026-04-22,5218.54,5218.54,0.00,46.74,Baixado,38,Fase 2 - 30 a 60 dias,188.39
42697,100101,DOC-2979,47,195,18,6-1409,2024-09-05,2024-11-08,1436.41,1436.41,0.00,27.19,Baixado,64,Fase 3 - 61 a 90 dias,67.67
25266,100102,DOC-7902,51,312,20,3-5078,2025-01-20,2025-03-09,6813.65,6813.65,0.00,56.36,Baixado,48,Fase 2 - 30 a 60 dias,233.02
82464,100103,DOC-7150,10,387,18,4-5620,2025-08-15,2025-09-24,1958.91,1110.23,848.68,30.23,Baixado parcialmente,40,Fase 2 - 30 a 60 dias,64.18
64141,100104,DOC-1666,25,224,71,2-3939,2024-10-15,2025-03-02,887.80,887.80,0.00,35.85,Baixado,138,Fase 4 - 91+ dias,62.61
39884,100105,DOC-2435,23,683,18,3-7373,2024-04-25,2024-07-26,4344.65,4344.65,0.00,82.21,Baixado,92,Fase 4 - 91+ dias,234.92
82342,100106,DOC-4894,34,376,18,2-1059,2026-05-28,,1159.58,0.00,1159.58,49.54,Em Aberto,108,Fase 4 - 91+ dias,67.04
81855,100107,DOC-5765,21,132,20,4-7562,2025-10-28,2025-11-02,4882.60,4882.60,0.00,7.76,Baixado,5,Fase 1 - 01 a 29 dias,121.43
53753,100108,DOC-1750,10,387,18,4-6229,2024-02-05,2024-04-01,1854.46,1854.46,0.00,26.21,Baixado,56,Fase 2 - 30 a 60 dias,61.68
29652,100109,DOC-8660,34,376,71,4-7713,2025-06-25,2025-08-01,753.40,753.40,0.00,6.84,Baixado,37,Fase 2 - 30 a 60 dias,23.55
88492,100110,DOC-5879,21,323,20,3-9348,2026-05-25,2026-07-26,2853.38,2853.38,0.00,41.42,Baixado,62,Fase 3 - 61 a 90 dias,115.21
40728,100111,DOC-6460,16,529,20,4-8815,2026-04-10,,2849.44,0.00,2849.44,102.17,Em Aberto,156,Fase 4 - 91+ dias,210.16
59797,100112,DOC-6537,58,636,18,2-9134,2025-02-25,2025-03-01,4222.19,4222.19,0.00,5.23,Baixado,4,Fase 1 - 01 a 29 dias,79.99
72140,100113,DOC-5672,9,684,20,5-8755,2024-12-25,2024-12-30,4243.65,4243.65,0.00,6.10,Baixado,5,Fase 1 - 01 a 29 dias,101.12
70064,100114,DOC-6572,16,658,20,3-4811,2024-11-15,2025-01-07,2248.49,2248.49,0.00,34.61,Baixado,53,Fase 2 - 30 a 60 dias,72.78
45301,100115,DOC-7520,44,286,18,7-1211,2026-08-10,,2981.74,0.00,2981.74,13.61,Em Aberto,34,Fase 2 - 30 a 60 dias,79.72
25337,100116,DOC-3893,8,670,71,3-2627,2024-06-10,2024-08-01,568.44,568.44,0.00,4.63,Baixado,52,Fase 2 - 30 a 60 dias,21.69
88805,100117,DOC-9904,49,893,18,3-8323,2024-02-20,2025-02-26,1900.92,1900.92,0.00,148.49,Baixado,372,Fase 4 - 91+ dias,304.42
43599,100118,DOC-2078,10,785,20,7-9298,2024-06-25,2024-07-09,1895.92,1895.92,0.00,5.11,Baixado,14,Fase 1 - 01 a 29 dias,53.18
36113,100119,DOC-3071,19,858,20,6-8121,2024-01-15,2024-01-19,2398.26,2398.26,0.00,3.73,Baixado,4,Fase 1 - 01 a 29 dias,55.38
90472,100120,DOC-5729,9,735,20,5-3387,2025-04-25,2025-05-30,6412.27,6412.27,0.00,35.28,Baixado,35,Fase 2 - 30 a 60 dias,190.23
60402,100121,DOC-4181,44,762,20,5-7925,2025-06-15,2025-06-22,2615.95,2615.95,0.00,6.46,Baixado,7,Fase 1 - 01 a 29 dias,60.10
49901,100122,DOC-2650,42,689,20,3-8629,2025-02-15,2025-04-20,3078.84,1140.77,1938.07,43.79,Baixado parcialmente,64,Fase 3 - 61 a 90 dias,142.77
58259,100123,DOC-6083,23,927,20,5-2193,2026-04-20,,5646.51,0.00,5646.51,160.62,Em Aberto,146,Fase 4 - 91+ dias,395.10
81855,100124,DOC-1526,21,132,20,4-7562,2024-10-28,2025-05-02,4726.13,4726.13,0.00,343.84,Baixado,186,Fase 4 - 91+ dias,344.31
60140,100125,DOC-9111,10,785,20,6-6626,2024-03-28,2024-03-29,1736.03,454.36,1281.67,0.31,Baixado parcialmente,1,Fase 1 - 01 a 29 dias,38.96
43694,100126,DOC-2697,23,683,20,4-8894,2026-02-25,2026-04-03,5557.46,5557.46,0.00,78.99,Baixado,37,Fase 2 - 30 a 60 dias,156.35
25325,100127,DOC-2266,21,132,71,5-9044,2025-04-28,2025-05-28,358.54,358.54,0.00,3.58,Baixado,30,Fase 2 - 30 a 60 dias,12.14
38633,100128,DOC-1118,2,620,20,5-4162,2025-05-05,2025-05-22,3133.56,3133.56,0.00,20.46,Baixado,17,Fase 1 - 01 a 29 dias,90.62
88411,100129,DOC-6205,42,833,18,2-6199,2024-06-28,2024-07-03,1158.81,1158.81,0.00,1.47,Baixado,5,Fase 1 - 01 a 29 dias,28.33
22864,100130,DOC-1506,28,623,18,4-7628,2026-06-28,2026-08-21,4176.10,3476.68,699.42,85.94,Baixado parcialmente,54,Fase 2 - 30 a 60 dias,171.62
18623,100131,DOC-1176,21,132,20,5-8900,2025-07-10,2025-07-19,2422.69,1239.66,1183.03,6.33,Baixado parcialmente,9,Fase 1 - 01 a 29 dias,63.84
48895,100132,DOC-9524,37,699,20,6-8749,2024-06-10,2024-06-20,2239.46,2239.46,0.00,3.09,Baixado,10,Fase 1 - 01 a 29 dias,48.69
93574,100133,DOC-7013,2,620,20,2-4204,2025-07-10,2026-01-28,1896.91,1896.91,0.00,110.71,Baixado,202,Fase 4 - 91+ dias,179.60
93439,100134,DOC-6309,28,623,18,6-9270,2026-08-20,,4116.26,0.00,4116.26,23.22,Em Aberto,24,Fase 1 - 01 a 29 dias,113.79
13257,100135,DOC-3666,19,913,20,2-4988,2025-03-25,2025-05-02,4245.17,4245.17,0.00,24.84,Baixado,38,Fase 2 - 30 a 60 dias,137.70
10005,100136,DOC-7731,44,762,20,7-3030,2024-10-25,2025-06-22,1492.52,1492.52,0.00,109.37,Baixado,240,Fase 4 - 91+ dias,162.70
53010,100137,DOC-4803,51,312,18,3-5068,2025-03-20,2025-08-09,2439.14,1942.95,496.19,86.87,Baixado parcialmente,142,Fase 4 - 91+ dias,173.72
57444,100138,DOC-5637,25,512,71,7-8725,2026-07-05,,242.48,0.00,242.48,2.56,Em Aberto,70,Fase 3 - 61 a 90 dias,11.48
51430,100139,DOC-3913,19,858,18,4-2428,2024-01-10,2024-01-21,1700.45,794.51,905.94,6.48,Baixado parcialmente,11,Fase 1 - 01 a 29 dias,38.76
67862,100140,DOC-7514,34,704,20,7-2056,2024-03-20,2024-04-06,2117.47,2117.47,0.00,11.43,Baixado,17,Fase 1 - 01 a 29 dias,50.06
28269,100141,DOC-6283,31,399,18,2-7545,2026-03-05,,3711.77,0.00,3711.77,128.64,Em Aberto,192,Fase 4 - 91+ dias,273.33
79461,100142,DOC-2687,51,312,18,6-9582,2024-03-25,2024-04-01,2268.95,2268.95,0.00,4.01,Baixado,7,Fase 1 - 01 a 29 dias,47.16
87113,100143,DOC-3900,47,100,20,2-5925,2026-05-05,2026-07-25,6193.07,6193.07,0.00,85.36,Baixado,81,Fase 3 - 61 a 90 dias,300.05
57798,100144,DOC-6435,21,132,20,2-3722,2025-02-20,2026-01-15,4651.09,4651.09,0.00,346.00,Baixado,329,Fase 4 - 91+ dias,541.70
56002,100145,DOC-6115,47,195,20,3-5910,2025-06-20,2025-07-06,4078.44,4078.44,0.00,11.54,Baixado,16,Fase 1 - 01 a 29 dias,114.14
63794,100146,DOC-4625,10,387,20,7-9875,2024-03-20,2024-03-28,3225.74,2477.15,748.59,8.34,Baixado parcialmente,8,Fase 1 - 01 a 29 dias,82.89
68865,100147,DOC-7673,25,224,20,3-2578,2025-05-25,2025-05-28,3576.83,3576.83,0.00,2.97,Baixado,3,Fase 1 - 01 a 29 dias,76.79
62885,100148,DOC-3977,25,512,18,5-2443,2024-09-25,2024-09-25,1204.84,1204.84,0.00,0.00,Baixado,0,Fase 1 - 01 a 29 dias,0.00
77685,100149,DOC-4415,49,893,67,2-1099,2025-12-20,,559.94,0.00,559.94,58.08,Em Aberto,267,Fase 4 - 91+ dias,65.26
93629,100150,DOC-5368,19,913,67,3-1553,2025-05-25,,1225.97,0.00,1225.97,137.17,Em Aberto,476,Fase 4 - 91+ dias,209.14
64873,100151,DOC-7423,2,620,20,7-7352,2025-11-10,2025-11-16,4244.03,2986.13,1257.90,3.78,Baixado parcialmente,6,Fase 1 - 01 a 29 dias,93.14
43599,100152,DOC-4839,10,785,20,7-9298,2025-04-25,2025-05-05,1889.72,1267.28,622.44,2.62,Baixado parcialmente,10,Fase 1 - 01 a 29 dias,43.89
85818,100153,DOC-9862,17,792,20,3-8264,2024-10-10,2024-11-02,6271.89,6271.89,0.00,28.02,Baixado,23,Fase 1 - 01 a 29 dias,175.02
44374,100154,DOC-6724,34,704,67,2-7504,2025-12-28,,990.49,0.00,990.49,39.75,Em Aberto,259,Fase 4 - 91+ dias,120.03
98090,100155,DOC-2719,21,132,20,4-1465,2024-05-15,2024-06-03,4282.79,4282.79,0.00,15.58,Baixado,19,Fase 1 - 01 a 29 dias,116.51
51031,100156,DOC-8612,2,620,18,3-1291,2024-12-25,2025-04-10,3564.65,3564.65,0.00,133.75,Baixado,106,Fase 4 - 91+ dias,193.20
59612,100157,DOC-4871,31,532,18,5-6557,2024-12-20,,3669.87,0.00,3669.87,456.03,Em Aberto,632,Fase 4 - 91+ dias,820.81
89844,100158,DOC-2738,44,286,18,5-9044,2026-07-05,,1664.59,0.00,1664.59,45.54,Em Aberto,70,Fase 3 - 61 a 90 dias,70.08
93682,100159,DOC-8175,47,100,67,3-9986,2024-12-05,2024-12-06,1210.36,1210.36,0.00,0.29,Baixado,1,Fase 1 - 01 a 29 dias,26.29
60138,100160,DOC-5599,19,858,18,2-8379,2024-04-15,,1863.78,0.00,1863.78,358.13,Em Aberto,881,Fase 4 - 91+ dias,614.42
86206,100161,DOC-3022,25,224,67,6-2757,2025-09-25,2025-10-04,1422.02,1422.02,0.00,5.09,Baixado,9,Fase 1 - 01 a 29 dias,29.52
24367,100162,DOC-9889,21,132,20,7-2268,2025-12-20,2026-06-27,2464.41,2464.41,0.00,79.37,Baixado,189,Fase 4 - 91+ dias,225.64
51963,100163,DOC-2574,31,399,67,2-5289,2026-08-15,,1407.24,0.00,1407.24,9.50,Em Aberto,29,Fase 1 - 01 a 29 dias,36.28
62885,100164,DOC-9218,25,512,18,5-2443,2024-01-25,2024-02-20,1189.47,1189.47,0.00,5.04,Baixado,26,Fase 1 - 01 a 29 dias,29.27
18261,100165,DOC-7178,19,913,18,3-6721,2026-08-25,,790.04,0.00,790.04,5.39,Em Aberto,19,Fase 1 - 01 a 29 dias,18.33
